brand;sku;name;priceIncl;stockLevel;skip;skip;articleCode;skip;skip
ZyXEL;91-005-054005;ZyXEL ZyAIR G-162;0;3.96;10;;ZYG162NG;WICLPCMI;Wireless Clients PCMIA
SPLITTER;3100009021;Splitter ISDN PF135IA;0;4.8;14111;;SPPF1351A;SPLITISD;Splitters ADSL annex B (ISDN)
VALADIS;GREENBOW VPN;TheGreenBow IPSec VPN Client;0;35.75;29;;GRVPNCLIENT;SECLIIPS;Firewall IP SEC Licenties
ZyXEL;91-005-029001B;ZyXEL ZyAIR EXT-104 op=op;0;10;9;;ZYEXT104;WIANTOMN;Wireless Antenne Omni
ZyXEL;91-005-232001B;ZyXEL ANT-3218 op=op;0;99;2;;ZYANT3218;WIANTSEC;Wireless Antenne Sector
ZyXEL;ANT2105-ZZ0101F;ZyXEL ANT-2105;50.14;40.11;1;;ZYANT2105;WIANTOMN;Wireless Antenne Omni
ZyXEL;91-005-300001B;ZyXEL NXC-5200 op=op;0;999;1;;ZYNXC5200;WICON;Wireless Controllers
ZyXEL;91-005-300003B;ZyXEL NXC-5200 Rack Mount Kit op=op;100.4;80.32;1;;ZYNXC5200RMK;WICON;Wireless Controllers
ZyXEL;91-995-080001B;ZyXEL E-iCard Kasp. AV, 1 jaar USG300;421.17;273.76;0;;ZYEIUSG300KAV1;SECLI300;Firewall USG 300
ZyXEL;91-995-082001B;ZyXEL E-iCard IDP, 1 jaar USG300;292.07;189.84;0;;ZYEIUSG300IDP1;SECLI300;Firewall USG 300
ZyXEL;91-995-074001B;ZyXEL iCard SSL VPN, 25 > 50, ZyWALL USG1000;200.34;150.26;2;;ZYEIUSG1000SSL2;SECLISSL;Firewall SSL VPN Licenties
ZyXEL;91-995-075001B;ZyXEL E-iCard SSL VPN, 25 > 50, ZyWALL USG1000;160.27;120.2;1;;ZYEIUSG1000SSL3;SECLI10-;Firewall USG 1000
ZyXEL;91-995-059001B;ZyXEL E-iCard SSL VPN 5->50 USG1000 op=op;0;208;1;;ZYICUSG1000SSL1;SECLI10-;Firewall USG 1000
ZyXEL;91-995-092001B;ZyXEL E-iCard SSL VPN 5 > 50, ZyWALL USG1000;0;140;1;;ZYEIUSG1000SSL4;SECLI10-;Firewall USG 1000
ZyXEL;91-995-158001B;ZyXEL E-iCard IDP, 1 jaar USG100;61.06;42.74;0;;ZYEIUSG100IDP1;SECLI100;Firewall USG 100
ZyXEL;91-995-167001B;ZyXEL E-iCard IDP, 1 jaar USG200;147.39;103.18;0;;ZYEIUSG200IDP1;SECLI200;Firewall USG 200
ZyXEL;91-995-151001B;ZyXEL E-iCard Bluecoat CF, 1 jaar USG200;307.19;215.03;0;;ZYEIUSG200CF1;SECLI200;Firewall USG 200
ZyXEL;91-995-152001B;ZyXEL E-iCard Kasp. AV, 1 jaar USG100;143.1;100.17;0;;ZYEIUSG100KAV1;SECLI100;Firewall USG 100
ZyXEL;91-995-153001B;ZyXEL E-iCard Kasp. AV, 1 jaar USG200;269.24;188.47;0;;ZYEIUSG200KAV1;SECLI200;Firewall USG 200
ZyXEL;91-995-162001B;ZyXEL E-iCard SSL VPN, 2 > 10 ZyWALL USG200;91.58;64.11;0;;ZYEIUSG200SSL1;SECLI200;Firewall USG 200
ZyXEL;91-995-161001B;ZyXEL E-iCard SSL VPN 2 > 5 ZyWALL USG100;34.34;24.04;0;;ZYEIUSG100SSL1;SECLI100;Firewall USG 100
ZyXEL;96-995-000001;ZyXEL E-iCard AV & IDP, 1 jaar USG50;169.81;118.87;0;;ZYEIUSG50AVIDP1;SECLI50;Firewall USG 50
ZyXEL;91-004-778005B;ZyXEL P871M VDSL;183.43;137.57;3;;ZYP871M;MRMO;Modem/Router Modems ADSL/VDSL
